epoch,MSE,MAE,EV,R2,spec_sim,KL,Hellinger,FC_SIM
0,0.00022011475812178105,0.011220489628612995,0.6310020848217174,0.6099403444518391,0.9906553916442089,0.36290142922062935,0.1410451700827713,0.7232936128293431
1,0.0002233296982012689,0.011244192719459534,0.7372781736219031,0.7227488083717151,0.9932803374070388,0.23943655764134927,0.1275626267530762,0.7606113874710574
2,0.00021895709505770355,0.011102786287665367,0.6625210230167096,0.6405731490534595,0.9893487646029546,0.33282251250323286,0.13788696686755908,0.7538696485149781
3,0.00025739584816619754,0.01166152860969305,0.7229348140904027,0.7092051669063731,0.9917444021273882,0.3119049638875822,0.13457267456973304,0.7499364169925555
4,0.00020451200543902814,0.010778787545859814,0.639787105923025,0.6256735813923371,0.9890201249693193,0.3086478184987743,0.12908297226331528,0.7078071847612557
5,0.00022774121316615492,0.011296067386865616,0.7054674095577664,0.6923300944841825,0.9906626175611447,0.2437748716944286,0.12472013124809193,0.7056715820422284
6,0.00022906104277353734,0.011294648051261902,0.6999561486081181,0.6829406894170321,0.9886027304535239,0.3102685563492996,0.13439681775688495,0.7429535986423565
7,0.0004006462695542723,0.013286327943205833,0.7283536883500906,0.7151624050914732,0.9901387803574913,0.32688935908108435,0.14058226261342263,0.7695295106763873
8,0.0003442610031925142,0.01320432499051094,0.7377108666631911,0.7296480572121775,0.9919802037059752,0.31299045413537246,0.1350561478932061,0.7537067648372374
9,0.00033861599513329566,0.013023694045841694,0.6462354430785546,0.6318719244410849,0.9862617855398064,0.3380170567658006,0.14167050053182087,0.7177912061754661
